timestamp,question,answer_choice,primary_quote,section_reference,source,cross_references,search_method,sql_query,interpretation_rationale,correct_answer,is_correct
2025-11-04T03:27:07,Q1: What is required of the trustee during monitoring of insolvent person's business under Division I Proposal?,(c) Review actual results vs cash flow statement,compare the actual and forecasted cash flow projections,BIA s. 50.4(7) - Study Materials line 2254,Study Materials (Insolvency Administration Course),"BIA s. 50(10), 50.4(7)",grep + read study materials,grep -i 'compare.*cash.flow' study_materials,The study materials explicitly state that monitoring includes 'compare the actual and forecasted cash flow projections' as part of the trustee's duty under BIA s. 50.4(7). This distinguishes option (c) from the other options. Option (a) mentions reconciling bank statements in 45 days which is not mentioned. Option (b) mentions weekly reports to OSB which is not the monitoring requirement. Option (d) says prepare (not review) cash flow - but s. 50.4(2) says the insolvent person prepares it and trustee reviews it for reasonableness.,,
2025-11-04T03:27:52,Q2: Proposal under Part III is contract between which parties?,(c) Debtor and creditors generally,A proposal is an agreement between a debtor and his creditors,Study Materials line 986; BIA s. 50(1.2),Study Materials (Insolvency Administration Course) + BIA Statute,BIA s. 50(1.2) - 'A proposal must be made to the creditors generally',grep study materials + database query,grep 'proposal.*contract' + SELECT from bia_sections WHERE section_number='50',"Study materials explicitly define a proposal as 'an agreement between a debtor and his creditors'. BIA s. 50(1.2) requires 'A proposal must be made to the creditors generally'. This establishes the contract is between debtor and creditors generally (option c), not just unsecured creditors (d), not between debtor and trustee (a), and not between debtor and Superintendent (b). The trustee acts as intermediary but is not a party to the contract.",,
2025-11-04T03:28:51,Q3: Documents required with proposal to commence Division I proceedings?,"(d) SOA, cash flow, report on reasonableness, report on representations",the Trustee will prepare the following documents... Assessment of an Individual Debtor; Statement of Affairs... Cash Flow Statement; Proposal; and A report regarding the preparation of the cash flow. The Trustee would then prepare and sign: A report on the reasonableness of the cash flow,"Study Materials lines 2024-2042; BIA s. 50(2), 50(6)",Study Materials (Insolvency Administration Course),BIA s. 50.4(2) - cash flow with representations and reasonableness reports,read study materials,Read lines 2024-2042 of study materials,"When filing a Division I proposal to commence proceedings, BIA s. 50(2) and 50(6) require: Statement of Affairs, Cash Flow Statement, report on reasonableness (by trustee), and report on representations (by debtor regarding cash flow preparation). Option (d) lists all four key documents. Option (a) describes NOI filing not proposal filing. Option (b) includes NOI which is optional. Option (c) missing report on reasonableness. Assessment certificate is required for individuals but not listed in any option with the correct combination.",,
2025-11-04T01:00:00,Q1: Trustee monitoring Division I business requirement?,Review actual results and compare with cash flow statement,"shall, for the purpose of monitoring the insolvent person's business and financial affairs, have access to and examine the insolvent person's property, including premises, books, records",Section 50.4(7)(a),BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '50.4',Monitoring means examining business records to compare actual performance against projected cash flow. Not bank reconciliation or weekly reports.,,
2025-11-04T01:01:00,Q2: Proposal Part III contract between?,The debtor and his creditors generally,a proposal accepted by the creditors and approved by the court is binding on creditors in respect of (a) all unsecured claims,Section 62(2),BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '62',Proposal is between debtor and creditors (secured and unsecured). Not just trustee or Superintendent.,,
2025-11-04T01:02:00,Q4: BIA s.95-101 apply to proposals?,Apply with modifications unless proposal provides otherwise,"Sections 95 to 101 apply, with any modifications that the circumstances require, to a proposal made under Division I of Part III unless the proposal provides otherwise",Section 101.1(1),BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '101.1',Default is they APPLY with modifications. Proposal can opt out by providing otherwise but that's optional.,,
2025-11-04T01:03:00,Q5: Effect on creditors upon Division I approval?,"All unsecured creditors, whether voted for or against, are bound",a proposal accepted by the creditors and approved by the court is binding on creditors in respect of (a) all unsecured claims,Section 62(2)(a),BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '62',Says ALL unsecured claims - doesn't matter if voted for or against. Binding on all.,,
2025-11-04T01:04:00,Q6: Consumer debtor Division II file Division I?,Once administrator of Division II discharged,A proposal may not be made under this Division with respect to a debtor in respect of whom a consumer proposal has been filed under Division II until the administrator under the consumer proposal has been discharged,Section 50(1.1),BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '50',Explicitly prohibits Division I UNTIL Division II administrator discharged. Not about court approval or payment.,,
2025-11-04T01:05:00,Q7: Proposal includes director claims when?,Claims before commencement re director capacity obligations,A proposal made in respect of a corporation may include...provision for the compromise of claims against directors...that arose before the commencement of proceedings under this Act and that relate to the obligations...where directors are by law liable in their capacity as directors,Section 50(13),BIA Statute,Section 50(14) exclusions,database,SELECT full_text FROM bia_sections WHERE section_number = '50',"Must be BEFORE commencement AND relate to director capacity obligations. Section 50(14) excludes contracts, misrepresentation, wrongful conduct.",,
2025-11-04T01:06:00,Q8: Court terminate 30-day period when?,Not acted in good faith and with due diligence,"The court may...declare terminated...the thirty day period...if the court is satisfied that (a) the insolvent person has not acted, or is not acting, in good faith and with due diligence",Section 50.4(11)(a),BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '50.4',Section 50.4(11)(a) explicitly states not acting in good faith/due diligence as grounds for termination.,,
2025-11-04T01:07:00,Q9: Proven creditor vote how?,Indicate assent/dissent by phone prior to meeting,"Any creditor who has proved a claim...may indicate assent to or dissent from the proposal in the prescribed manner to the trustee prior to the meeting, and any assent or dissent, if received by the trustee at or prior to the meeting, has effect as if the creditor had been present and had voted",Section 53,BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '53',Can vote prior to meeting in prescribed manner (includes phone) - same effect as attending.,,
2025-11-04T01:08:00,Q10: Who approves bankrupt's proposal before OR filing?,The trustee,"If a proposal is made in respect of an insolvent person, the trustee shall file with the official receiver a copy of the proposal",Section 62(1),BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '62',"Trustee files it directly with OR. No prior approval from creditors, inspectors, or court required.",,
2025-11-04T01:09:00,Q11: NOI signifies intention to?,Make a proposal to his creditors,an insolvent person may file a notice of intention...stating (a) the insolvent person's intention to make a proposal,Section 50.4(1)(a),BIA Statute,None,database,SELECT relationship_text FROM v_complete_duties WHERE bia_section = '50.4',NOI explicitly declares intention to make proposal - not to liquidate or just file cash flow.,,
2025-11-04T01:10:00,Q12: Trustee's role in proposal?,"Officer of the court, fair and equitable to all",A Trustee is an officer of the court who owes a duty of care to all stakeholders,Study Materials Section 1.1.3,Study Materials,None,file_search,grep 'officer of the court' study_materials,"Trustee is officer of court with duty to ALL - not just advisor, not only creditors.",,
2025-11-04T01:11:00,Q13: Creditor no proof filed in Division I status?,Bound by the proposal,a proposal accepted by the creditors and approved by the court is binding on creditors in respect of (a) all unsecured claims,Section 62(2)(a),BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '62',"Binding on creditors...all unsecured claims. Doesn't require filing proof - if aware, still bound.",,
2025-11-04T01:12:00,Q3: Documents required with Division I proposal?,"SOA, cash flow, report reasonableness, report representations",trustee shall file with official receiver a copy of proposal and prescribed statement of affairs,Section 62(1) + 50.4,BIA Statute,Section 50.4 cash flow requirements,database,"SELECT full_text FROM bia_sections WHERE section_number IN ('62','50.4')",Section 62 requires SOA. Section 50.4 requires cash flow + reasonableness report + representations report with proposal.,,
2025-11-04T01:13:00,Q14: Required when Division I proposal completed?,Trustee issues Certificate of Full Performance to debtor and OR,"If proposal fully performed, trustee/administrator issues certificate to debtor and official receiver",Section 65/66.38 pattern,BIA/Study Materials,None,study_materials_search,grep 'Certificate Full Performance' study materials,Division I follows Division II pattern - trustee issues certificate upon full performance.,,
2025-11-04T01:14:00,Q15: Who cannot make proposal?,Debtor with prior consumer proposal (administrator not discharged),A proposal may not be made under this Division with respect to a debtor in respect of whom a consumer proposal has been filed under Division II until the administrator under the consumer proposal has been discharged,Section 50(1.1),BIA Statute,None,database,SELECT full_text FROM bia_sections WHERE section_number = '50',"Section 50(1) allows insolvent person, receiver, trustee to make proposals. Section 50(1.1) prohibits if prior Division II admin not discharged.",,
2025-11-03T22:17:32,What is required of trustee during monitoring of insolvent person's business under Division I?,(c) Review actual vs cash flow,compare the actual and forecasted cash flow projections,Section 50.4(7) - Study Materials,Study Materials (insolvency_admin_extracted.txt),Section 50.4(7)(a) - monitoring access to property/books/records,grep search,grep -C 5 'actual.*cash.flow' data/input/study_materials/insolvency_admin_extracted.txt,"The study materials explicitly state that monitoring under Division I includes 'compare the actual and forecasted cash flow projections'. This is part of the trustee's monitoring duty under s.50.4(7). Option (a) mentions 45 days which is not in the statute. Option (b) weekly OSB reports is not required. Option (d) is about preparing (not reviewing) cash flow which is the debtor's duty under s.50.4(2)(a), not the trustee's monitoring duty.",,
2025-11-04T04:19:24,Do the provisions of the BIA relating to preferences and transfer at undervalue apply in a proposal?,s. 95-101 apply with modifications unless proposal provides otherwise,"Sections 95 to 101 apply, with any modifications that the circumstances require, to a proposal made under Division I of Part III unless the proposal provides otherwise.",Section 101.1(1),BIA Statute,Section 95-101 (preferences and undervalue),database_query,SELECT full_text FROM bia_sections WHERE section_number = '101.1',"Section 101.1(1) explicitly states that sections 95-101 (preferences and undervalue transfers) DO apply to proposals, BUT with two key qualifiers: (1) with any modifications that circumstances require, and (2) unless the proposal provides otherwise. This directly matches answer choice (b). Choice (a) is wrong - they DO apply. Choice (c) is wrong - subsection (3) addresses annulment separately. Choice (d) is wrong - the proposal can provide otherwise.",,
2025-11-03T00:00:00,What is the effect on different creditors upon the approval of a Division I proposal?,(b) All unsecured bound (voted for or against),a proposal accepted by the creditors and approved by the court is binding on creditors in respect of (a) all unsecured claims,Section 62(2)(a),BIA Statute,Section 62(2)(b) (secured creditor binding conditions),database_query,SELECT full_text FROM bia_sections WHERE section_number = '62',"Section 62(2)(a) explicitly states the proposal binds 'all unsecured claims' - no qualification about voting. This means ALL unsecured creditors are bound whether they voted for or against. In contrast, 62(2)(b) shows secured creditors are only bound if they were in classes where majority voted to accept. Key distinction: unsecured = ALL bound, secured = only certain classes bound.",,
2025-11-04T04:19:39,A proposal made pursuant to Part III of the BIA is a contract between which of the following parties?,(c) The debtor and his creditors generally,"A proposal must be made to the creditors generally, either as a mass or separated into classes as provided in the proposal",Section 50(1.2),BIA Statute,None,database_query,"SELECT relationship_text, bia_section FROM v_complete_duties WHERE bia_section = '50'",BIA Section 50(1.2) explicitly states 'A proposal must be made to the creditors generally' - this defines the parties to the proposal contract. NOT (a) trustee - trustee administers proposal but is not party to contract. NOT (b) Superintendent - has oversight but not party to contract. NOT (d) only unsecured creditors - statute says 'creditors generally' includes secured and unsecured. Key word: 'generally' means all creditors as a group.,,
2025-11-04T04:20:38,Can a consumer debtor who filed a Division II consumer proposal file a Division I proposal?,Once Division II administrator discharged,A proposal may not be made under this Division with respect to a debtor in respect of whom a consumer proposal has been filed under Division II until the administrator under the consumer proposal has been discharged.,Section 50(1.1),BIA Statute,None,database_query,"SELECT relationship_text, bia_section FROM v_complete_duties WHERE bia_section = '50'","Section 50(1.1) explicitly states Division I proposal is prohibited UNTIL administrator discharged. Not never (option a is wrong), not when creditors paid (option c is wrong), not anytime (option d contradicts the statute). The keyword 'until' means once administrator discharged, then Division I becomes available. Answer (b) matches the statute exactly.",,
2025-11-03T00:00:00,How does a proven creditor cast a vote on a proposal?,(c) Phone assent/dissent before meeting,"Any creditor who has proved a claim, whether secured or unsecured, may indicate assent to or dissent from the proposal in the prescribed manner to the trustee prior to the meeting",Section 53,BIA Statute,Section 109 (proxy voting),database_query,SELECT full_text FROM bia_sections WHERE section_number = '53',"Section 53 explicitly states creditors may indicate assent/dissent 'in the prescribed manner to the trustee prior to the meeting' and it has effect 'as if the creditor had been present and had voted'. Phone communication is a prescribed manner of indicating assent/dissent before the meeting. Cross-reference to Section 109 shows in-person or proxy are also valid, but the question asks how a proven creditor CAN vote, and option (c) describes the prior-to-meeting method in Section 53.",,
2025-11-03T15:30:00,When will a proposal include the compromise of claims against the directors? (a) Claims before commencement re director obligations (b) Creditor-director contracts (c) Misrepresentation (d) Wrongful conduct,(a) Claims before commencement re director obligations,A proposal made in respect of a corporation may include in its terms provision for the compromise of claims against directors of the corporation that arose before the commencement of proceedings under this Act and that relate to the obligations of the corporation where the directors are by law liable in their capacity as directors for the payment of such obligations.,Section 50(13),BIA Statute,Section 50(14) (exceptions),database + file search,grep Section 50,Section 50(13) permits compromise of director claims that: (1) arose BEFORE commencement AND (2) relate to obligations where directors liable BY LAW in their capacity as directors. Section 50(14) EXCLUDES: (a) creditor-director contracts AND (b) misrepresentation/wrongful conduct. Answer (a) matches 50(13) criteria. Options (b)(c)(d) are all excluded by 50(14).,,
2025-11-04T04:22:46,A Notice of Intention is filed by a debtor signifying an intention to perform which one of the following?,(a) Make a proposal to his creditors,the insolvent person's intention to make a proposal,Section 50.4(1)(a),BIA Statute,"Section 50.4(2) - cash-flow statement requirement, Section 62(1) - filing proposal",database_query,"SELECT relationship_text, bia_section FROM v_complete_duties WHERE bia_section = '50.4'; SELECT full_text FROM bia_sections WHERE section_number = '50.4'","Section 50.4(1)(a) explicitly states that NOI must state 'the insolvent person's intention to make a proposal.' The cash-flow statement (b) is a consequence/requirement AFTER filing NOI (subsection 2), not the purpose of NOI itself. Liquidation (c) is bankruptcy, not proposal. Discharge application (d) happens after proposal performance, not what NOI signifies. Direct match to statute text = answer (a).",,
2025-11-04T04:22:50,What is required of the trustee when a Division I proposal has been completed?,Issue Certificate to debtor and OR,"Where a proposal is fully performed, the trustee shall give a certificate to that effect, in the prescribed form, to the debtor and to the official receiver.",Section 65.3,BIA Statute,Section 178 (non-dischargeable debts),database_query,"SELECT relationship_text, bia_section FROM v_complete_duties WHERE bia_section = '65.3'",Section 65.3 states the trustee 'shall give a certificate' to BOTH the debtor AND the official receiver. Answer (b) matches this requirement. Answer (a) is incorrect - no court application required for certificate. Answer (c) is incorrect - inspectors don't approve the certificate. Answer (d) is incorrect - no creditors meeting for completion (already approved earlier).,,
2025-11-03T00:00:00,What is the status of a creditor who has not filed a proof of claim in a Division I proposal even though he was aware of the proposal?,Bound by proposal,a proposal accepted by the creditors and approved by the court is binding on creditors in respect of (a) all unsecured claims,Section 62(2),BIA Statute,None,database_query,SELECT full_text FROM bia_sections WHERE section_number = '62',Section 62(2) explicitly states the proposal is binding on creditors in respect of 'all unsecured claims' - it does NOT say 'all unsecured creditors who filed proof of claim'. The key word is 'claims' not 'creditors who filed'. This means even creditors who were aware but did not file proof are still bound by an approved proposal. The statute makes no exception for non-filing creditors.,,
2025-11-03T22:24:17,When can the court terminate the 30-day period to file a proposal after a Notice of Intention?,(a) When the insolvent person has not acted in good faith and with due diligence,"The court may...declare terminated...the thirty day period...if the court is satisfied that (a) the insolvent person has not acted, or is not acting, in good faith and with due diligence",Section 50.4(11)(a),BIA Statute,"Section 50.4(8) (deemed assignment), Section 50.4(9) (extension criteria)",database_query,SELECT full_text FROM bia_sections WHERE section_number LIKE '50.4%',"Section 50.4(11) provides four grounds for court to terminate NOI period. Answer (a) matches subsection (11)(a) exactly - lack of good faith and due diligence. This is also one of the positive criteria required for extensions under s.50.4(9)(a), so its absence is grounds for termination. Other answers: (b) wrong - debtor applies for extensions not termination; (c) partially matches (11)(b) but says 45th day which is incorrect timing; (d) wrong - assignment is the consequence of termination under s.50.4(8)(a), not a ground for it.",,
2025-11-04T04:24:18,What is the trustee's role in a proposal?,"Officer of court, fair and equitable to all","The Trustee is an officer of the court and does not represent the debtor or the creditors. A Licensed Insolvency Trustee is an impartial party who must aim to properly carry out the objectives of the bankruptcy legislation and, as such, has an obligation to the debtor, the creditors, the court and other interested parties.",Study Materials Section 4.3.20,Study Materials (insolvency_admin_extracted.txt),None,file_search,grep -B 5 -A 10 'officer.*court' data/input/study_materials/insolvency_admin_extracted.txt,"The quote explicitly states the trustee is an officer of the court and does NOT represent debtor or creditors. It clarifies the trustee is an impartial party with obligations to debtor, creditors, court and other parties. This matches answer (d) officer of court, fair and equitable to all. Answer (a) is incorrect because while the trustee may advise the debtor, the primary role is NOT advisor/agent but officer of court. Answer (b) is wrong as the trustee represents all stakeholders, not only creditors. Answer (c) is incomplete as ensuring compliance is just one aspect of the officer of court duty.",,
2025-11-03T22:25:26,Who cannot make a proposal under the BIA?,A debtor who has previously filed a consumer proposal and the administrator of that proposal has not been discharged,A proposal may not be made under this Division with respect to a debtor in respect of whom a consumer proposal has been filed under Division II until the administrator under the consumer proposal has been discharged.,Section 50(1.1),BIA Statute,"Section 50(1) lists who CAN make proposals (including insolvent person, trustee, receiver)",database_query,SELECT full_text FROM bia_sections WHERE section_number = '50',"Section 50(1.1) explicitly states proposals CANNOT be made for debtors with prior consumer proposals until the administrator is discharged. This is a prohibition, not eligibility. Section 50(1) lists who CAN make proposals (answers a, b, c are all listed there as eligible). The question asks who CANNOT - only answer (d) matches the prohibition in 50(1.1).",,
2025-11-04T04:27:59,Who must approve a proposal made by a bankrupt BEFORE it is filed with the Official Receiver?,Inspectors,"the consumer proposal must be approved by the inspectors, if any, before any further action is taken thereon",Section 66.4(2)(a),BIA Statute,Section 61(1) (Division I proposals by bankrupts),database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '66.4'","BIA Section 66.4(2)(a) explicitly states 'must be approved by the inspectors, if any, before any further action is taken thereon' for consumer proposals by bankrupts. This is distinct from proposals by non-bankrupt insolvent persons under Section 62(1), where the trustee files directly without prior approval. The key distinction is the person's status: bankrupt = inspectors must approve BEFORE filing; non-bankrupt insolvent = trustee files directly. Study materials at line 6936-6937 confirm this for Division I proposals, and lines 7199 confirm for consumer proposals.",,
2025-11-04T04:28:53Z,Which documents required filed TOGETHER WITH proposal to commence Division I proceedings?,"(d) SOA, cash flow, report on reasonableness, report on representations","Cash Flow Statements and accompanying documents must be received by the OSB no later than 10 days after the filing of the NOI, or concurrently with the filing of the Division I Proposal.",Study Materials Section 6.7.2,Study Materials,"Section 62(1) (SOA), Section 50.4(2) (cash flow components)",file_search,grep 'Cash Flow Statements and accompanying documents' study_materials,"Question asks what's filed TOGETHER WITH proposal (not before with NOI). Study materials explicitly state cash flow + accompanying documents (reasonableness report + representations report) filed 'concurrently with filing of Division I Proposal'. Section 62(1) requires SOA with proposal. Options (a)(b)(c) include NOI/consent/creditor list which are filed WITH NOI per Section 50.4(1), NOT with proposal. Only option (d) contains exclusively documents filed at proposal stage: SOA (§62), cash flow + 2 reports (study materials).",,
2025-11-04T00:00:00,Definition of consumer debtor?,"(b) Natural person bankrupt or insolvent, debts excluding principal residence ≤ prescribed","consumer debtor means an individual who is bankrupt or insolvent and whose aggregate debts, excluding any debts secured by the individual's principal residence, are not more than $250,000 or any other prescribed amount",Section 66.11,BIA Statute,None,database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.11',The definition explicitly states 'bankrupt OR insolvent' (not just insolvent). Choice (b) correctly includes both conditions. Choice (a) omits the bankrupt/insolvent requirement. Choice (c) says 'insolvent not bankrupt' which contradicts the OR condition. Choice (d) incorrectly includes principal residence in debt calculation.,,
2025-11-04T00:00:01,"At meeting of creditors for consumer proposal, what is required for the proposal to pass?","(a) Majority of creditors present, in person, by proxy or by voting letter, voting in favor of the proposal","At a meeting of creditors, the creditors may by ordinary resolution, voting all as one class, accept or refuse the consumer proposal",Section 66.19(1),BIA Statute,Section 66.17 (voting letters/proxies counted as present),database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.19',"Section 66.19(1) states 'ordinary resolution' which means simple majority (more than 50%). The BIA defines 'ordinary resolution' elsewhere as majority in number of creditors voting. Section 66.17(2) states that voting letters/proxies are counted 'as if the creditor had been present and had voted at the meeting.' This makes (a) correct. Option (c) mentions 2/3 in value, which applies to Division I proposals under s.54, NOT consumer proposals.",,
2025-11-04T00:00:02,A Division II proposal (consumer proposal) may be made by a consumer debtor. What is the definition of a consumer debtor?,"(b) A natural person who is bankrupt or insolvent and whose aggregate debts, excluding any debts secured by his principal residence, do not exceed the prescribed amount","consumer debtor means an individual who is bankrupt or insolvent and whose aggregate debts, excluding any debts secured by the individual's principal residence, are not more than $ 250,000 or any other prescribed amount",Section 66.11,BIA Statute,None,database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.11',"Section 66.11 defines consumer debtor with THREE key elements: (1) 'bankrupt OR insolvent' - covers both statuses, (2) 'excluding debts secured by principal residence' - mortgage excluded from calculation, (3) 'not more than $250,000 or prescribed amount'. Option (b) matches all three elements exactly. Option (a) missing 'bankrupt or insolvent' language. Option (c) says 'insolvent and not bankrupt' which is too restrictive - consumer proposals CAN be made by bankrupts per s.66.12(1).",,
2025-11-04T00:00:03,Which one of the following is a fee or expense which must be provided for in a consumer proposal?,"(b) $700, payable upon the filing of a consumer proposal with the OSB",for the payment of all prescribed fees and expenses (i) of the administrator on and incidental to proceedings arising out of the consumer proposal,Section 66.12(6)(b),BIA Statute,Tariff (prescribed fees),database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.12',"Section 66.12(6)(b) requires consumer proposal to provide for 'payment of all prescribed fees and expenses of the administrator.' The $700 filing fee is a prescribed fee under the Tariff. Option (a) incorrect - there is no separate 'tariff' filing fee. Option (c) incorrect - administrator fees are NOT 25% of distributions; they're based on prescribed tariff. Option (d) incorrect - $700 is payable upon FILING, not upon deemed approval.",,
2025-11-04T00:00:04,What is required of the administrator when a consumer debtor has completed his payments under a consumer proposal?,(d) The administrator must issue a Certificate of Full Performance 30 days after paying final dividends,NOT FOUND - Conflicting information,Section 66.38,BIA Statute + Study Materials,Section 66.38 (certificate issuance),database_query + file_search,SELECT full_text FROM bia_sections WHERE section_number = '66.38',"ISSUE: Section 66.38(1) states administrator 'shall issue a certificate' when proposal is 'fully performed' but does NOT specify 30-day waiting period after final dividends. Study materials (p.234) state 'Once the insolvent person has met all of the terms of the proposal, the Administrator will issue a Certificate of Full Performance' with no 30-day delay mentioned. However, option (d) is the ONLY option mentioning the Certificate of Full Performance which IS the correct document required. Options (a)(b)(c) describe wrong procedures. Answering (d) as closest match despite timing uncertainty.",,
2025-11-04T00:00:05,What are the duties of an administrator in a consumer proposal?,(a) Investigate the consumer debtor's property and financial affairs,"An administrator who agrees to assist a consumer debtor shall (a) investigate, or cause to be investigated, the consumer debtor's property and financial affairs so as to be able to assess with reasonable accuracy the consumer debtor's financial situation and the cause of his insolvency",Section 66.13(2)(a),BIA Statute,"Section 66.13(2)(b) counselling, (c) prepare proposal, (d) file proposal",database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.13',"Section 66.13(2)(a) explicitly states administrator's duty to 'investigate... the consumer debtor's property and financial affairs.' Option (b) INCORRECT - administrators can use consolidated trust account per s.66.26(2), not required to open separate account for EACH estate. Option (c) INCORRECT - administrator PREPARES the proposal per s.66.13(2)(c), not reviews one prepared by debtor. Option (d) INCORRECT - consumer proposals don't realize on assets; debtor keeps property and makes payments.",,
2025-11-04T00:00:06,Which of the following terms must be included in a consumer proposal?,(b) The provision for the payment of all prescribed fees and expenses of the administrator,A consumer proposal must provide... (b) for the payment of all prescribed fees and expenses (i) of the administrator on and incidental to proceedings arising out of the consumer proposal,Section 66.12(6)(b),BIA Statute,Section 66.12(5) - 5 year completion; Section 66.12(6)(a) - priority claims; Section 66.12(6)(c) - dividend distribution,database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.12',"Section 66.12(6) lists MANDATORY provisions that 'must' be included. Subsection (6)(b) requires provision for 'payment of all prescribed fees and expenses of the administrator.' Option (a) INCORRECT - s.66.12(5) requires completion within FIVE years, not 3. Option (c) INCORRECT - consumer proposals do NOT discharge secured creditors; debtor keeps property and continues paying secured debts outside proposal. Option (d) INCORRECT - s.66.21 allows UP TO THREE inspectors, not 5.",,
