timestamp,question,answer_choice,primary_quote,reference,source,cross_references,search_method,keywords,rationale,correct_answer,is_correct
2025-11-05T13:57:56.846734,"Which one of the following statements pertains to a bankrupt's discharge applied for by the bankrupt prior to the automatic discharge date? A) A bankrupt may apply to court for a discharge prior to the automatic discharge date; if refused, there will be no automatic discharge B) The court must be satisfied that not receiving an early discharge will have an effect on the bankrupt's ability to earn a living C) The debtor must obtain permission from the trustee to apply to the court for an early discharge D) The trustee must be the one to apply to the court for an early discharge for the bankrupt in every circumstance",,"168.1 (1) Subject to subsections ( 2) and 157.1(3), the
following provisions apply in respect of an individual
bankrupt other than a bankrupt referred to in subsection
172.1(1):
(a) in the case of a bankrupt who has never before
been bankrupt under the laws of Canada or of any pre-
scribed jurisdiction, the bankrupt is automatically dis-
charged
(i) on the expiry of 9 months after the date of
bankruptcy unless, in that 9-month period, an op-
position to the discharge has been filed or the
bankru",168.1,statute,,Universal FTS5 search,section 172 bankrupt application discharge,Based on insolvency domain knowledge base,,
2025-11-05T14:14:42.439213,Which statement pertains to a bankrupt's discharge applied for by the bankrupt prior to the automatic discharge date?,,"168.1 (1) Subject to subsections ( 2) and 157.1(3), the
following provisions apply in respect of an individual
bankrupt other than a bankrupt referred to in subsection
172.1(1):
(a) in the case of a bankrupt who has never before
been bankrupt under the laws of Canada or of any pre-
scribed jurisdiction, the bankrupt is automatically dis-
charged
(i) on the expiry of 9 months after the date of
bankruptcy unless, in that 9-month period, an op-
position to the discharge has been filed or the
bankru",168.1,statute,,Universal FTS5 search,discharge before automatic discharge date,Based on insolvency domain knowledge base,,
2025-11-05T14:14:46.412851,Can a bankrupt apply to court for a discharge prior to the automatic discharge date? What are the conditions and requirements?,,NOT FOUND,N/A,statute,,Universal FTS5 search,bankrupt early discharge application court,Based on insolvency domain knowledge base,,
2025-11-05T14:14:50.114123,What happens if a bankrupt applies for discharge before the automatic discharge date and is refused? Will automatic discharge still occur?,,NOT FOUND,N/A,statute,,Universal FTS5 search,discharge refusal bankrupt application,Based on insolvency domain knowledge base,,
2025-11-05T14:17:10.098361,What happens when a bankrupt applies for discharge?,,"168.1 (1) Subject to subsections ( 2) and 157.1(3), the
following provisions apply in respect of an individual
bankrupt other than a bankrupt referred to in subsection
172.1(1):
(a) in the case of a bankrupt who has never before
been bankrupt under the laws of Canada or of any pre-
scribed jurisdiction, the bankrupt is automatically dis-
charged
(i) on the expiry of 9 months after the date of
bankruptcy unless, in that 9-month period, an op-
position to the discharge has been filed or the
bankru",168.1,statute,,Universal FTS5 search,bankrupt applies for discharge,Based on insolvency domain knowledge base,,
2025-11-05T14:21:08.159173,What happens when a bankrupt applies for discharge?,,NOT FOUND,N/A,statute,,Universal FTS5 search,bankrupt applies for discharge consequences,Based on insolvency domain knowledge base,,
2025-11-05T14:21:10.922988,"When a bankrupt applies to court for discharge, what effect does this have on automatic discharge provisions?",,"68 (1) The Superintendent shall, by directive, establish
in respect of the provinces or one or more bankruptcy
districts or parts of bankruptcy districts, the standards
for determining the surplus income of an individual
bankrupt and the amount that a bankrupt who has sur-
plus income is required to pay to the estate of the
bankrupt.
68 (1) Le surintendant fixe, par instruction, pour les
provinces ou pour un ou plusieurs districts ou parties de
(2) The following definitions apply in this section",68,statute,,Universal FTS5 search,automatic discharge ceases to apply,Based on insolvency domain knowledge base,,
2025-11-05T14:21:18.830939,What provisions apply when a bankrupt applies to court for discharge before automatic discharge date under section 168?,,NOT FOUND,N/A,statute,,Universal FTS5 search,discharge application court 169 170 171 172 173 174 175 176,Based on insolvency domain knowledge base,,
2025-11-05T14:21:22.613023,What is the discharge hearing and what provisions apply to it?,,"168.2 (1) The following provisions apply in respect of
oppositions to the automatic discharge of an individual
bankrupt:
(a) if the Superintendent opposes the discharge, the
Superintendent must give notice of the opposition, to-
gether with the grounds for it, to the trustee and to the
bankrupt before the automatic discharge would other-
wise take effect;
(b) if a creditor opposes the discharge, the creditor
must give notice of the opposition, together with the
grounds for it, to the Superintend",168.2,statute,,Universal FTS5 search,discharge hearing section 169,Based on insolvency domain knowledge base,,
2025-11-05T14:21:28.343406,What are the conditions and grounds for refusing a discharge under BIA section 173?,,NOT FOUND,N/A,statute,,Universal FTS5 search,section 173 grounds refuse discharge,Based on insolvency domain knowledge base,,
2025-11-05T14:21:31.027492,Court discharge grounds conditions absolute conditional suspended refused,,"168.2 (1) The following provisions apply in respect of
oppositions to the automatic discharge of an individual
bankrupt:
(a) if the Superintendent opposes the discharge, the
Superintendent must give notice of the opposition, to-
gether with the grounds for it, to the trustee and to the
bankrupt before the automatic discharge would other-
wise take effect;
(b) if a creditor opposes the discharge, the creditor
must give notice of the opposition, together with the
grounds for it, to the Superintend",168.2,statute,,Universal FTS5 search,discharge grounds,Based on insolvency domain knowledge base,,
2025-11-05T15:08:20.589417,What type of discharge is available to a bankrupt where no facts are proven under BIA s. 173?,,"2 In this Act,
af/f_idavit includes statutory declaration and solemn af-
firmation; ( af/f_idavit)
aircraft objects [Repealed, 2012, c. 31, s. 414]
application, with respect to a bankruptcy application
filed in a court in the Province of Quebec, means a mo-
tion; ( Version anglaise seulement)
assignment means an assignment filed with the official
receiver; ( cession)
bank means
(a) every bank and every authorized foreign bank
within the meaning of section 2 of the Bank Act,
(b) every other membe",2,statute,,Universal FTS5 search,discharge BIA section 173,Based on insolvency domain knowledge base,,
2025-11-05T15:08:24.222577,"Under BIA section 173, if no facts are proven by the bankrupt, what is the discharge available?",,"2 In this Act,
af/f_idavit includes statutory declaration and solemn af-
firmation; ( af/f_idavit)
aircraft objects [Repealed, 2012, c. 31, s. 414]
application, with respect to a bankruptcy application
filed in a court in the Province of Quebec, means a mo-
tion; ( Version anglaise seulement)
assignment means an assignment filed with the official
receiver; ( cession)
bank means
(a) every bank and every authorized foreign bank
within the meaning of section 2 of the Bank Act,
(b) every other membe",2,statute,,Universal FTS5 search,section 173 absolute discharge no facts proven,Based on insolvency domain knowledge base,,
2025-11-05T16:53:15.909420,What type of discharge is available to a bankrupt where no facts are proven under BIA s. 173?,,"1 This Act may be cited as the Bankruptcy and Insol-
vency Act.
R.S., 1985, c. B-3, s. 1; 1992, c. 27, s. 2.",1,statute,,Universal FTS5 search,discharge BIA 173 bankruptcy,Based on insolvency domain knowledge base,,
2025-11-05T16:53:19.432355,BIA section 173 absolute discharge suspended discharge prescribed discharge court refuse discharge,,"170.1 (1) If the discharge of a bankrupt individual is
opposed by a creditor or the trustee solely on grounds re-
ferred to in either one or both of paragraphs 173(1)(m)
and (n), the trustee shall send an application for media-
tion, in the prescribed form, to the official receiver within
five days after the day on which the bankrupt would have
been automatically discharged had the opposition not
been filed or within any further time after that day that
the official receiver may allow.
(2) A med",170.1,statute,,Universal FTS5 search,section 173 discharge,Based on insolvency domain knowledge base,,
2025-11-05T16:53:22.480486,What discharge is available when no facts are proven in bankruptcy proceedings?,,"2 In this Act,
af/f_idavit includes statutory declaration and solemn af-
firmation; ( af/f_idavit)
aircraft objects [Repealed, 2012, c. 31, s. 414]
application, with respect to a bankruptcy application
filed in a court in the Province of Quebec, means a mo-
tion; ( Version anglaise seulement)
assignment means an assignment filed with the official
receiver; ( cession)
bank means
(a) every bank and every authorized foreign bank
within the meaning of section 2 of the Bank Act,
(b) every other membe",2,statute,,Universal FTS5 search,discharge absolute suspended no facts proven,Based on insolvency domain knowledge base,,
2025-11-05T16:55:49.570483,"What type of discharge is available to a bankrupt where no facts are proven under BIA s. 173? Options: 1. An absolute discharge 2. A suspended discharge for a period of six months 3. A prescribed discharge, upon the payment of a specified amount to the estate 4. The court may refuse the discharge",,"173 (1) The facts referred to in section 172 are:
(a) the assets of the bankrupt are not of a value equal
to fifty cents on the dollar on the amount of the
bankrupt’s unsecured liabilities, unless the bankrupt
satisfies the court that the fact that the assets are not
of a value equal to fifty cents on the dollar on the

quante cents par dollar de ses obligations non garan-
PART VI Bankrupts PARTIE VI Faillis
Section 173 Article 173
Current to/uni00A0August/uni00A011, 2025
Last amended on Decembe",173,statute,,Universal FTS5 search,discharge section 173,Based on insolvency domain knowledge base,,
2025-11-05T16:56:44.241342,"Under BIA section 172, what type of discharge must the court grant when no facts under section 173 are proven?",,"172 (1) On the hearing of an application of a bankrupt
for a discharge, other than a bankrupt referred to in sec-
tion 172.1, the court may
selon le cas :
PART VI Bankrupts PARTIE VI Faillis
Sections 172-172.1 Articles 172-172.1
Current to/uni00A0August/uni00A011, 2025
Last amended on December 12, 2024
(a) grant or refuse an absolute order of discharge;
(b) suspend the operation of an absolute order of dis-
charge for a specified time; or
(c) grant an order of discharge subject to any terms or
c",172,statute,,Universal FTS5 search,section 172 discharge absolute,Based on insolvency domain knowledge base,,
2025-11-05T20:06:06.159639,"Which one of the following statements is true with regards to an examination in a bankruptcy?
A) The trustee may examine any clerk, director or an employee of the bankrupt
B) The Official Receiver may examine any creditor or other person who may have knowledge of the affairs of the bankrupt
C) A creditor may, at any time, examine the trustee and/or an inspector
D) A creditor may, at any time, examine the bankrupt",,"161 (1) Before a bankrupt’s discharge, the official re-
ceiver shall, on the attendance of the bankrupt, examine
the bankrupt under oath with respect to the bankrupt’s
conduct, the causes of the bankruptcy and the disposition
of the bankrupt’s property and shall put to the bankrupt
the prescribed question or questions to the like effect and
such other questions as the official receiver may see fit.
position de ses biens, et lui pose les questions prescrites
questions qu’il peut juger opportunes.",161,statute,,Universal FTS5 search,examination bankruptcy,Based on insolvency domain knowledge base,,
2025-11-05T21:05:09.365167,What are the rules for varying a bankrupt discharge order,,"176 (1) Where an order is granted on terms or condi-
tions or on the bankrupt consenting to judgment, the
PART VI Bankrupts PARTIE VI Faillis
Sections 176-178 Articles 176-178
Current to/uni00A0August/uni00A011, 2025
Last amended on December 12, 2024
bankrupt shall, until the terms, conditions or judgment is
satisfied,
(a) give the trustee such information as he may re-
quire with respect to his earnings and after-acquired
property and income, and
(b) not less than once a year, file in the court",176,statute,,Universal FTS5 search,discharge variation conditional order,Based on insolvency domain knowledge base,,
2025-11-05T21:05:15.348872,Can a bankrupt apply to vary a conditional discharge order and what is the process,,"172 (1) On the hearing of an application of a bankrupt
for a discharge, other than a bankrupt referred to in sec-
tion 172.1, the court may
selon le cas :
PART VI Bankrupts PARTIE VI Faillis
Sections 172-172.1 Articles 172-172.1
Current to/uni00A0August/uni00A011, 2025
Last amended on December 12, 2024
(a) grant or refuse an absolute order of discharge;
(b) suspend the operation of an absolute order of dis-
charge for a specified time; or
(c) grant an order of discharge subject to any terms or
c",172,statute,,Universal FTS5 search,section 172 vary discharge application,Based on insolvency domain knowledge base,,
2025-11-05T21:05:26.384663,What are the rules for examination by the Official Receiver in bankruptcy,,"161 (1) Before a bankrupt’s discharge, the official re-
ceiver shall, on the attendance of the bankrupt, examine
the bankrupt under oath with respect to the bankrupt’s
conduct, the causes of the bankruptcy and the disposition
of the bankrupt’s property and shall put to the bankrupt
the prescribed question or questions to the like effect and
such other questions as the official receiver may see fit.
position de ses biens, et lui pose les questions prescrites
questions qu’il peut juger opportunes.",161,statute,,Universal FTS5 search,section 161 Official Receiver examination,Based on insolvency domain knowledge base,,
2025-11-05T21:05:31.371806,What are the duties of the bankrupt during bankruptcy,,"159 Where a bankrupt is a corporation, the officer exe-
cuting the assignment, or such
(a) officer of the corporation, or
(b) person who has, or has had, directly or indirectly,
control in fact of the corporation
as the official receiver may specify, shall attend before
the official receiver for examination and shall perform all
of the duties imposed on a bankrupt by section 158, and,
in case of failure to do so, the officer or person is punish-
able as though that officer or person were the ban",159,statute,,Universal FTS5 search,section 158 bankrupt duties counselling,Based on insolvency domain knowledge base,,
2025-11-05T21:05:35.773177,What does section 158 say about bankrupt duties,,"157 Except as provided in section 155, all the provisions
of this Act, in so far as they are applicable, apply with
PART V Administration of Estates PARTIE V Administration des actifs
Summary Administration Administration sommaire
Sections 157-158 Articles 157-158
Current to/uni00A0August/uni00A011, 2025
Last amended",157,statute,,Universal FTS5 search,section 158,Based on insolvency domain knowledge base,,
2025-11-06T21:34:56.561921,Is there a 210-day deadline related to counselling sessions in consumer proposals or bankruptcy?,,"206 (1) Where the official receiver or trustee believes on
reasonable grounds that an offence under this Act or the
Criminal Code  relating to the property of the bankrupt
was committed either before or after the date of the ini-
tial bankruptcy event by the bankrupt or any other per-
son, the official receiver or trustee shall make a report
thereon to the Deputy Attorney General or other appro-
priate legal officer of the province concerned or to such
person as is duly designated by that legal ",206,statute,,Universal FTS5 search,counselling 210 days maximum deadline,Based on insolvency domain knowledge base,,
2025-11-06T22:44:49.110455,"After the debtor receives the certificate of completion for their consumer proposal, do they still have to wait for 30 days for the notice of taxation and then another 3 months to actually be discharged?",,"66.29 (1) If a consumer proposal is approved or
deemed approved by the court, the administrator may, if
the administrator believes on reasonable grounds that
the debtor owns land or other valuable property, issue a
certificate in respect of the proposal, and may cause the
certificate to be filed in any place where a certificate of
judgment, writ of seizure and sale or other like document
may be filed or where a legal hypothec of judgment credi-
tors may be registered.
— de la proposition de cons",66.29,statute,,Universal FTS5 search,consumer proposal discharge certificate completion,Based on insolvency domain knowledge base,,
2025-11-06T22:44:59.361940,What is the timeline for discharge after a consumer proposal is fully performed? Does the debtor have to wait 30 days after notice of taxation and then 3 months for the administrator to be discharged?,,"66.39 The form and content of the administrator’s ac-
counts, the procedure for the preparation and taxation of
those accounts and the procedure for the discharge of the
administrator shall be as prescribed.
1992, c. 27, s. 32.
66.39 La forme et le contenu des comptes de l’adminis-",66.39,statute,,Universal FTS5 search,certificate of full performance administrator discharge taxation,Based on insolvency domain knowledge base,,
2025-11-06T22:45:12.177906,When is a debtor discharged from debts in a consumer proposal? What certificate does the administrator issue when the proposal is fully performed?,,"41 (1) When a trustee has completed the duties re-
quired of him with respect to the administration of the
property of a bankrupt, he shall apply to the court for a
discharge.
tribunal.
(2) The court may discharge a trustee with respect to any
estate on full administration thereof or, for sufficient
cause, before full administration.
terminée.
When another trustee has been appointed Nomination d’un autre syndic
(3) A trustee when replaced by another trustee is entitled
to be discharged if he has",41,statute,,Universal FTS5 search,certificate full performance debtor discharge,Based on insolvency domain knowledge base,,
2025-11-06T22:45:22.231201,"In a consumer proposal, after the administrator issues a certificate of full performance to the consumer debtor, is the debtor immediately discharged from their debts or do they have to wait for the administrator to be discharged?",,"66.29 (1) If a consumer proposal is approved or
deemed approved by the court, the administrator may, if
the administrator believes on reasonable grounds that
the debtor owns land or other valuable property, issue a
certificate in respect of the proposal, and may cause the
certificate to be filed in any place where a certificate of
judgment, writ of seizure and sale or other like document
may be filed or where a legal hypothec of judgment credi-
tors may be registered.
— de la proposition de cons",66.29,statute,,Universal FTS5 search,consumer proposal certificate administrator debtor,Based on insolvency domain knowledge base,,
